"County","mean_percent"
"Alameda",10.4375
"Alpine",17.9
"Amador",11.8
"Butte",19.275
"Calaveras",12.9625
"Colusa",12.1375
"Contra Costa",9.025
"Del Norte",21.8125
"El Dorado",9.2625
"Fresno",23.35
"Glenn",15.7625
"Humboldt",19.7875
"Imperial",22.05
"Inyo",12.6375
"Kern",21.3125
"Kings",19.275
"Lake",20.2
"Lassen",17.1625
"Los Angeles",15.8
"Madera",20.225
"Marin",7.525
"Mariposa",15.525
"Mendocino",17.6375
"Merced",21.6625
"Modoc",19.45
"Mono",10.4375
"Monterey",14.0125
"Napa",8.45
"Nevada",10.925
"Orange",11.3375
"Placer",7.55
"Plumas",13.7
"Riverside",14.2625
"Sacramento",15.4625
"San Benito",10.2375
"San Bernardino",16.825
"San Diego",12.4375
"San Francisco",11.025
"San Joaquin",16.2375
"San Luis Obispo",12.7125
"San Mateo",6.9125
"Santa Barbara",14.05
"Santa Clara",8.0125
"Santa Cruz",13.2375
"Shasta",16.25
"Sierra",13.4625
"Siskiyou",18.675
"Solano",10.6
"Sonoma",9.7875
"Stanislaus",16.1875
"Sutter",14.75
"Tehama",18.275
"Trinity",19.925
"Tulare",23.975
"Tuolumne",13.3625
"Ventura",9.8875
"Yolo",17.8875
"Yuba",18.05
